주소,Latitude,Longitude
중구,37.5601443,126.9959649
동구,35.5254858,129.4259758
서구,35.1030941,129.0148985
영도구,35.0787475,129.064765
강서구,37.5617969,126.8070377
수영구,35.1610936,129.1201036
기장군,35.297975,129.2009199
연제구,35.1861442,129.0816332
사상구,35.1580273,128.9865896
금정구,35.2588922,129.0915364
남구,37.4522576,126.6675965
동래구,35.2017529,129.0837979
북구,35.944444,128.5610546
사하구,35.0899401,128.9744881
부산진구,35.1652494,129.0430314
해운대구,35.1719465,129.1741038
